File,Bird Name,length
682009.wav,White-breastedNuthatch,57.084208333333336
451202.wav,White-breastedNuthatch,46.272
321970.wav,White-breastedNuthatch,362.1877551020408
29503.wav,White-breastedNuthatch,41.856
513352.wav,White-breastedNuthatch,22.121904761904762
511631.wav,White-breastedNuthatch,19.786458333333332
350807.wav,White-breastedNuthatch,101.61632653061224
762303.wav,White-breastedNuthatch,4.53275
321973.wav,White-breastedNuthatch,325.7991836734694
350797.wav,White-breastedNuthatch,256.47020408163263
350812.wav,White-breastedNuthatch,124.39510204081633
350816.wav,White-breastedNuthatch,112.11755102040816
121070.wav,White-breastedNuthatch,76.38204081632654
14861.wav,White-breastedNuthatch,49.65877551020408
29504.wav,White-breastedNuthatch,58.872
296306.wav,White-breastedNuthatch,11.38938775510204
29505.wav,White-breastedNuthatch,8.688
14860.wav,White-breastedNuthatch,12.486530612244898
321977.wav,White-breastedNuthatch,266.5534693877551
556595.wav,White-breastedNuthatch,54.24
511637.wav,White-breastedNuthatch,25.6264375
355010.wav,White-breastedNuthatch,24.067755102040817
337044.wav,White-breastedNuthatch,25.544399092970522
572227.wav,White-breastedNuthatch,18.91583333333333
556596.wav,White-breastedNuthatch,49.512
404314.wav,White-breastedNuthatch,18.28247916666667
560678.wav,White-breastedNuthatch,27.9370625
210488.wav,White-breastedNuthatch,96.80979591836734
564810.wav,White-breastedNuthatch,13.352833333333333
689277.wav,White-breastedNuthatch,40.992
661324.wav,White-breastedNuthatch,29.736
490201.wav,White-breastedNuthatch,48.25502083333333
371064.wav,White-breastedNuthatch,38.4
580359.wav,White-breastedNuthatch,18.177868480725625
521583.wav,White-breastedNuthatch,63.12110416666667
448735.wav,White-breastedNuthatch,16.848
772607.wav,White-breastedNuthatch,421.632
417999.wav,White-breastedNuthatch,9.1448125
837636.wav,White-breastedNuthatch,119.4426875
443270.wav,White-breastedNuthatch,14.256
317862.wav,White-breastedNuthatch,40.008
468235.wav,White-breastedNuthatch,28.34285714285714
229768.wav,White-breastedNuthatch,47.6258125
443271.wav,White-breastedNuthatch,6.528
110384.wav,White-breastedNuthatch,66.72
665811.wav,White-breastedNuthatch,31.36206349206349
217072.wav,White-breastedNuthatch,24.006530612244898
298757.wav,White-breastedNuthatch,12.8
194506.wav,White-breastedNuthatch,22.252131519274375
443282.wav,White-breastedNuthatch,40.872
217071.wav,White-breastedNuthatch,48.27428571428572
13350.wav,White-breastedNuthatch,45.332585034013604
544060.wav,White-breastedNuthatch,22.438770833333333
444075.wav,White-breastedNuthatch,25.013958333333335
728659.wav,White-breastedNuthatch,69.57537414965986
196688.wav,White-breastedNuthatch,97.35836734693878
217070.wav,White-breastedNuthatch,62.093061224489794
11635.wav,White-breastedNuthatch,14.10358276643991
179728.wav,White-breastedNuthatch,30.798367346938775
381798.wav,White-breastedNuthatch,35.66377083333333
408318.wav,White-breastedNuthatch,31.992
714979.wav,White-breastedNuthatch,179.02816326530612
422903.wav,White-breastedNuthatch,36.83371882086168
129083.wav,White-breastedNuthatch,36.35220833333333
298753.wav,White-breastedNuthatch,4.153469387755102
301364.wav,White-breastedNuthatch,35.49668934240363
856820.wav,White-breastedNuthatch,0.22104166666666666
810120.wav,White-breastedNuthatch,3.1269375
577346.wav,White-breastedNuthatch,40.92872916666666
350818.wav,White-breastedNuthatch,366.21061224489796
666555.wav,White-breastedNuthatch,101.27466666666666
687224.wav,White-breastedNuthatch,26.834761904761905
350758.wav,White-breastedNuthatch,194.6122448979592
350770.wav,White-breastedNuthatch,83.90530612244898
474852.wav,White-breastedNuthatch,55.224
350765.wav,White-breastedNuthatch,78.36734693877551
350771.wav,White-breastedNuthatch,88.89469387755102
350759.wav,White-breastedNuthatch,113.92
687221.wav,White-breastedNuthatch,52.09345833333333
350822.wav,White-breastedNuthatch,260.0489795918367
544575.wav,White-breastedNuthatch,41.54052154195011
350766.wav,White-breastedNuthatch,96.13061224489796
818912.wav,White-breastedNuthatch,347.328
290146.wav,White-breastedNuthatch,40.071836734693875
206101.wav,Dark-eyedJunco,46.872
104584.wav,Dark-eyedJunco,80.04
691317.wav,Dark-eyedJunco,107.19675736961452
113826.wav,Dark-eyedJunco,31.248
72923.wav,Dark-eyedJunco,43.57224489795918
35301.wav,Dark-eyedJunco,24.842448979591836
76211.wav,Dark-eyedJunco,6.336
691316.wav,Dark-eyedJunco,49.228
104585.wav,Dark-eyedJunco,105.048
254478.wav,Dark-eyedJunco,178.584
421294.wav,Dark-eyedJunco,28.512
169594.wav,Dark-eyedJunco,86.89986394557823
104587.wav,Dark-eyedJunco,32.304
109855.wav,Dark-eyedJunco,44.328
13879.wav,Dark-eyedJunco,52.453877551020405
353513.wav,Dark-eyedJunco,30.432
550080.wav,Dark-eyedJunco,5.234125
205543.wav,Dark-eyedJunco,124.68
13878.wav,Dark-eyedJunco,46.602448979591834
104586.wav,Dark-eyedJunco,21.816
254480.wav,Dark-eyedJunco,5.472
571062.wav,Dark-eyedJunco,180.06204081632654
107854.wav,Dark-eyedJunco,42.984
224748.wav,Dark-eyedJunco,28.626145124716555
663743.wav,Dark-eyedJunco,44.55560416666667
172401.wav,Dark-eyedJunco,34.373895833333336
600769.wav,Dark-eyedJunco,61.32
207795.wav,Dark-eyedJunco,183.32734693877552
13880.wav,Dark-eyedJunco,40.93387755102041
817988.wav,Dark-eyedJunco,56.616
195844.wav,Dark-eyedJunco,133.73485260770974
357028.wav,Dark-eyedJunco,17.066666666666666
448964.wav,Dark-eyedJunco,35.016
420400.wav,Dark-eyedJunco,26.31140589569161
14233.wav,Dark-eyedJunco,20.807120181405896
362427.wav,Dark-eyedJunco,13.584
322995.wav,Dark-eyedJunco,41.43020408163265
408664.wav,Dark-eyedJunco,22.125714285714285
76515.wav,Dark-eyedJunco,20.52
289054.wav,Dark-eyedJunco,25.361583333333332
178940.wav,Dark-eyedJunco,29.496
582574.wav,Dark-eyedJunco,33.44362811791383
110975.wav,Dark-eyedJunco,50.616
125070.wav,Dark-eyedJunco,50.10285714285714
605845.wav,Dark-eyedJunco,110.04
14232.wav,Dark-eyedJunco,31.270226757369613
20829.wav,Dark-eyedJunco,45.12548752834467
804601.wav,Dark-eyedJunco,1.771125
125072.wav,Dark-eyedJunco,26.59265306122449
269029.wav,Dark-eyedJunco,22.368
911998.wav,Dark-eyedJunco,35.76
483708.wav,Dark-eyedJunco,143.43836734693878
79618.wav,Dark-eyedJunco,88.104
269028.wav,Dark-eyedJunco,39.264
718181.wav,Dark-eyedJunco,112.92402083333333
628056.wav,Dark-eyedJunco,31.848
605846.wav,Dark-eyedJunco,217.944
125073.wav,Dark-eyedJunco,31.555918367346937
628046.wav,Dark-eyedJunco,308.832
125077.wav,Dark-eyedJunco,50.39020408163265
381590.wav,Dark-eyedJunco,89.65224489795918
381584.wav,Dark-eyedJunco,25.208163265306123
34287.wav,Dark-eyedJunco,9.978775510204082
327747.wav,Dark-eyedJunco,77.1
494258.wav,Dark-eyedJunco,17.232
408663.wav,Dark-eyedJunco,22.857142857142858
605843.wav,Dark-eyedJunco,39.792
125076.wav,Dark-eyedJunco,66.40326530612245
856816.wav,Dark-eyedJunco,0.17414965986394557
567924.wav,Dark-eyedJunco,86.808
718190.wav,Dark-eyedJunco,558.6949791666667
628047.wav,Dark-eyedJunco,99.648
628051.wav,Dark-eyedJunco,96.048
365749.wav,Dark-eyedJunco,59.14525
253589.wav,Dark-eyedJunco,99.94448979591837
479476.wav,Dark-eyedJunco,67.60489795918367
917295.wav,Dark-eyedJunco,5.626354166666666
381592.wav,Dark-eyedJunco,73.09061224489795
381586.wav,Dark-eyedJunco,3.3436734693877552
406329.wav,Dark-eyedJunco,62.808
125075.wav,Dark-eyedJunco,34.06367346938776
638299.wav,Dark-eyedJunco,107.25877551020409
628049.wav,Dark-eyedJunco,154.272
125078.wav,Dark-eyedJunco,64.57469387755103
406330.wav,Dark-eyedJunco,127.224
408651.wav,Dark-eyedJunco,25.968
737551.wav,Dark-eyedJunco,49.2
667170.wav,Dark-eyedJunco,34.944
714834.wav,Dark-eyedJunco,15.048
510802.wav,Dark-eyedJunco,39.3914375
267999.wav,Dark-eyedJunco,31.42530612244898
703742.wav,Dark-eyedJunco,39.408
628060.wav,Dark-eyedJunco,171.288
538591.wav,Dark-eyedJunco,36.62920833333333
718176.wav,Dark-eyedJunco,503.2113958333333
567901.wav,Dark-eyedJunco,76.008
104512.wav,Dark-eyedJunco,4.911020408163266
408652.wav,Dark-eyedJunco,57.48
477131.wav,Dark-eyedJunco,14.783770833333334
